OrderID,OrderDate,Year,Month,Quarter,CustomerID,Region,City,Channel,ProductID,ProductName,Category,Quantity,UnitPrice,Discount,Revenue,Cost,Profit,Status
ORD1015,2024-03-05,2024,3,Q1,C0197,East,Guwahati,Retail Store,P007,Office Desk,Furniture,9,22000,0.15,168300.0,126000,42300.0,Delivered
ORD1016,2023-10-07,2023,10,Q4,C0048,East,Kolkata,Online,P005,Smart Watch,Electronics,7,18000,0.05,119700.0,84000,35700.0,Delivered
ORD1017,2024-11-15,2024,11,Q4,C0128,North,Chandigarh,Retail Store,P007,Office Desk,Furniture,7,22000,0.15,130900.0,98000,32900.0,Delivered
ORD1018,2023-05-11,2023,5,Q2,C0198,Central,Bhopal,Online,P009,Monitor,Electronics,10,28000,0.1,252000.0,180000,72000.0,Returned
ORD1019,2024-08-29,2024,8,Q3,C0127,Central,Nagpur,Online,P009,Monitor,Electronics,10,28000,0.15,238000.0,180000,58000.0,Delivered
ORD1020,2024-03-14,2024,3,Q1,C0020,South,Chennai,Direct Sales,P012,Jeans,Apparel,3,2500,0.2,6000.0,3300,2700.0,Delivered
ORD1021,2023-09-24,2023,9,Q3,C0078,South,Bangalore,Retail Store,P010,Keyboard,Electronics,7,3500,0.0,24500.0,12600,11900.0,Delivered
ORD1022,2023-12-12,2023,12,Q4,C0163,North,Chandigarh,Direct Sales,P001,Laptop,Electronics,7,75000,0.0,525000.0,385000,140000.0,Delivered
ORD1023,2023-03-25,2023,3,Q1,C0195,East,Bhubaneswar,Online,P007,Office Desk,Furniture,8,22000,0.0,176000.0,112000,64000.0,Pending
ORD1024,2023-12-25,2023,12,Q4,C0080,South,Chennai,Online,P008,Bookshelf,Furniture,4,9000,0.15,30600.0,22000,8600.0,Delivered
ORD1025,2024-10-29,2024,10,Q4,C0103,West,Ahmedabad,Online,P016,Pen Set,Stationery,1,450,0.2,360.0,180,180.0,Returned
ORD1026,2023-07-24,2023,7,Q3,C0135,North,Lucknow,Retail Store,P002,Smartphone,Electronics,1,45000,0.1,40500.0,30000,10500.0,Delivered
ORD1027,2024-04-29,2024,4,Q2,C0085,West,Pune,Retail Store,P006,Desk Chair,Furniture,2,15000,0.1,27000.0,18000,9000.0,Delivered
ORD1028,2023-09-20,2023,9,Q3,C0194,South,Bangalore,Online,P006,Desk Chair,Furniture,6,15000,0.0,90000.0,54000,36000.0,Delivered
ORD1029,2023-06-17,2023,6,Q2,C0185,South,Chennai,Online,P006,Desk Chair,Furniture,5,15000,0.0,75000.0,45000,30000.0,Returned
ORD1030,2024-08-12,2024,8,Q3,C0173,East,Guwahati,Retail Store,P014,Jacket,Apparel,7,5500,0.05,36575.0,19600,16975.0,Delivered
ORD1031,2024-12-08,2024,12,Q4,C0173,East,Guwahati,Wholesale,P006,Desk Chair,Furniture,4,15000,0.0,60000.0,36000,24000.0,Returned
ORD1032,2024-09-06,2024,9,Q3,C0077,West,Pune,Online,P019,Blender,Appliances,2,4200,0.2,6720.0,4800,1920.0,Delivered
ORD1033,2024-03-14,2024,3,Q1,C0151,South,Hyderabad,Wholesale,P004,Headphones,Electronics,6,8000,0.0,48000.0,27000,21000.0,Delivered
ORD1034,2024-03-06,2024,3,Q1,C0033,Central,Indore,Direct Sales,P019,Blender,Appliances,8,4200,0.0,33600.0,19200,14400.0,Pending
ORD1035,2024-10-12,2024,10,Q4,C0085,West,Pune,Retail Store,P007,Office Desk,Furniture,8,22000,0.15,149600.0,112000,37600.0,Delivered
ORD1036,2024-06-18,2024,6,Q2,C0141,Central,Nagpur,Direct Sales,P005,Smart Watch,Electronics,5,18000,0.1,81000.0,60000,21000.0,Delivered
ORD1037,2024-08-29,2024,8,Q3,C0004,North,Chandigarh,Retail Store,P013,Sneakers,Apparel,5,4500,0.0,22500.0,11000,11500.0,Delivered
ORD1038,2023-03-30,2023,3,Q1,C0062,West,Ahmedabad,Retail Store,P015,Notebook,Stationery,5,250,0.05,1187.5,500,687.5,Delivered
ORD1039,2024-08-06,2024,8,Q3,C0199,West,Ahmedabad,Direct Sales,P005,Smart Watch,Electronics,10,18000,0.15,153000.0,120000,33000.0,Delivered
ORD1040,2024-05-21,2024,5,Q2,C0179,Central,Nagpur,Direct Sales,P001,Laptop,Electronics,6,75000,0.0,450000.0,330000,120000.0,Delivered
ORD1041,2023-09-22,2023,9,Q3,C0098,West,Pune,Wholesale,P003,Tablet,Electronics,6,32000,0.0,192000.0,132000,60000.0,Delivered
ORD1042,2024-06-13,2024,6,Q2,C0191,East,Bhubaneswar,Retail Store,P020,Air Purifier,Appliances,4,12000,0.0,48000.0,30000,18000.0,Delivered
ORD1043,2024-05-15,2024,5,Q2,C0165,Central,Indore,Retail Store,P011,T-Shirt,Apparel,9,1200,0.2,8640.0,4500,4140.0,Delivered
ORD1044,2024-10-23,2024,10,Q4,C0171,North,Lucknow,Online,P018,Coffee Maker,Appliances,8,6500,0.05,49400.0,30400,19000.0,Delivered
ORD1045,2023-08-15,2023,8,Q3,C0004,North,Chandigarh,Retail Store,P008,Bookshelf,Furniture,7,9000,0.15,53550.0,38500,15050.0,Delivered
ORD1046,2024-08-18,2024,8,Q3,C0072,North,Delhi,Wholesale,P020,Air Purifier,Appliances,6,12000,0.05,68400.0,45000,23400.0,Delivered
ORD1047,2024-07-17,2024,7,Q3,C0142,North,Delhi,Direct Sales,P007,Office Desk,Furniture,6,22000,0.0,132000.0,84000,48000.0,Delivered
ORD1048,2023-09-15,2023,9,Q3,C0197,East,Guwahati,Retail Store,P008,Bookshelf,Furniture,4,9000,0.0,36000.0,22000,14000.0,Delivered
ORD1049,2024-07-02,2024,7,Q3,C0035,South,Chennai,Retail Store,P006,Desk Chair,Furniture,3,15000,0.0,45000.0,27000,18000.0,Delivered
ORD1050,2023-10-11,2023,10,Q4,C0037,South,Chennai,Wholesale,P005,Smart Watch,Electronics,10,18000,0.2,144000.0,120000,24000.0,Pending
ORD1051,2023-07-18,2023,7,Q3,C0038,North,Lucknow,Wholesale,P017,Planner,Stationery,5,600,0.0,3000.0,1100,1900.0,Delivered
ORD1052,2023-01-15,2023,1,Q1,C0052,South,Chennai,Wholesale,P020,Air Purifier,Appliances,9,12000,0.0,108000.0,67500,40500.0,Delivered
ORD1053,2023-02-25,2023,2,Q1,C0096,West,Mumbai,Retail Store,P010,Keyboard,Electronics,9,3500,0.0,31500.0,16200,15300.0,Delivered
ORD1054,2024-05-17,2024,5,Q2,C0002,South,Chennai,Online,P019,Blender,Appliances,2,4200,0.2,6720.0,4800,1920.0,Delivered
ORD1055,2024-04-25,2024,4,Q2,C0014,East,Bhubaneswar,Wholesale,P009,Monitor,Electronics,8,28000,0.05,212800.0,144000,68800.0,Delivered
ORD1056,2023-02-22,2023,2,Q1,C0042,North,Chandigarh,Direct Sales,P017,Planner,Stationery,5,600,0.2,2400.0,1100,1300.0,Delivered
ORD1057,2023-03-08,2023,3,Q1,C0102,North,Chandigarh,Online,P008,Bookshelf,Furniture,7,9000,0.05,59850.0,38500,21350.0,Delivered
ORD1058,2024-12-03,2024,12,Q4,C0072,North,Delhi,Retail Store,P011,T-Shirt,Apparel,1,1200,0.0,1200.0,500,700.0,Delivered
ORD1059,2023-11-08,2023,11,Q4,C0045,North,Lucknow,Online,P016,Pen Set,Stationery,2,450,0.0,900.0,360,540.0,Delivered
ORD1060,2024-03-02,2024,3,Q1,C0012,Central,Bhopal,Retail Store,P009,Monitor,Electronics,10,28000,0.1,252000.0,180000,72000.0,Delivered
ORD1061,2024-01-25,2024,1,Q1,C0122,West,Pune,Wholesale,P010,Keyboard,Electronics,8,3500,0.05,26600.0,14400,12200.0,Returned
ORD1062,2024-03-15,2024,3,Q1,C0155,East,Kolkata,Online,P005,Smart Watch,Electronics,5,18000,0.1,81000.0,60000,21000.0,Delivered
ORD1063,2023-04-12,2023,4,Q2,C0173,East,Guwahati,Retail Store,P014,Jacket,Apparel,4,5500,0.15,18700.0,11200,7500.0,Delivered
ORD1064,2023-03-25,2023,3,Q1,C0041,South,Chennai,Retail Store,P011,T-Shirt,Apparel,3,1200,0.0,3600.0,1500,2100.0,Delivered
ORD1065,2023-06-10,2023,6,Q2,C0150,East,Guwahati,Direct Sales,P004,Headphones,Electronics,1,8000,0.05,7600.0,4500,3100.0,Delivered
ORD1066,2024-04-26,2024,4,Q2,C0129,South,Hyderabad,Retail Store,P008,Bookshelf,Furniture,5,9000,0.0,45000.0,27500,17500.0,Delivered
ORD1067,2023-10-17,2023,10,Q4,C0115,Central,Nagpur,Retail Store,P016,Pen Set,Stationery,8,450,0.0,3600.0,1440,2160.0,Returned
ORD1068,2024-10-02,2024,10,Q4,C0102,North,Chandigarh,Retail Store,P010,Keyboard,Electronics,10,3500,0.15,29750.0,18000,11750.0,Delivered
ORD1069,2024-07-11,2024,7,Q3,C0110,South,Chennai,Retail Store,P006,Desk Chair,Furniture,4,15000,0.15,51000.0,36000,15000.0,Returned
ORD1070,2023-05-26,2023,5,Q2,C0065,West,Mumbai,Retail Store,P006,Desk Chair,Furniture,2,15000,0.0,30000.0,18000,12000.0,Delivered
ORD1071,2024-09-01,2024,9,Q3,C0018,South,Hyderabad,Direct Sales,P011,T-Shirt,Apparel,10,1200,0.0,12000.0,5000,7000.0,Delivered
ORD1072,2024-12-06,2024,12,Q4,C0140,North,Chandigarh,Direct Sales,P015,Notebook,Stationery,5,250,0.15,1062.5,500,562.5,Returned
ORD1073,2024-05-27,2024,5,Q2,C0051,Central,Indore,Direct Sales,P003,Tablet,Electronics,9,32000,0.05,273600.0,198000,75600.0,Delivered
ORD1074,2023-02-10,2023,2,Q1,C0007,North,Delhi,Wholesale,P002,Smartphone,Electronics,7,45000,0.15,267750.0,210000,57750.0,Delivered
ORD1075,2023-01-27,2023,1,Q1,C0192,East,Guwahati,Online,P007,Office Desk,Furniture,2,22000,0.0,44000.0,28000,16000.0,Pending
ORD1076,2024-11-19,2024,11,Q4,C0138,Central,Indore,Online,P004,Headphones,Electronics,5,8000,0.1,36000.0,22500,13500.0,Delivered
ORD1077,2023-06-29,2023,6,Q2,C0029,South,Chennai,Direct Sales,P010,Keyboard,Electronics,8,3500,0.1,25200.0,14400,10800.0,Returned
ORD1078,2023-07-05,2023,7,Q3,C0013,South,Hyderabad,Direct Sales,P006,Desk Chair,Furniture,10,15000,0.05,142500.0,90000,52500.0,Pending
ORD1079,2024-04-26,2024,4,Q2,C0017,West,Pune,Wholesale,P001,Laptop,Electronics,6,75000,0.05,427500.0,330000,97500.0,Delivered
ORD1080,2023-04-18,2023,4,Q2,C0137,South,Bangalore,Direct Sales,P006,Desk Chair,Furniture,3,15000,0.0,45000.0,27000,18000.0,Delivered
ORD1081,2023-10-23,2023,10,Q4,C0082,West,Pune,Online,P014,Jacket,Apparel,7,5500,0.2,30800.0,19600,11200.0,Delivered
ORD1082,2023-11-19,2023,11,Q4,C0141,Central,Nagpur,Online,P003,Tablet,Electronics,5,32000,0.0,160000.0,110000,50000.0,Pending
ORD1083,2024-02-18,2024,2,Q1,C0025,Central,Bhopal,Online,P009,Monitor,Electronics,9,28000,0.2,201600.0,162000,39600.0,Delivered
ORD1084,2024-07-09,2024,7,Q3,C0043,North,Lucknow,Online,P005,Smart Watch,Electronics,8,18000,0.05,136800.0,96000,40800.0,Delivered
ORD1085,2024-01-06,2024,1,Q1,C0068,North,Delhi,Direct Sales,P011,T-Shirt,Apparel,10,1200,0.2,9600.0,5000,4600.0,Delivered
ORD1086,2023-02-22,2023,2,Q1,C0105,West,Mumbai,Retail Store,P016,Pen Set,Stationery,4,450,0.0,1800.0,720,1080.0,Returned
ORD1087,2024-03-24,2024,3,Q1,C0166,South,Bangalore,Online,P014,Jacket,Apparel,8,5500,0.0,44000.0,22400,21600.0,Pending
ORD1088,2024-09-15,2024,9,Q3,C0184,North,Chandigarh,Retail Store,P019,Blender,Appliances,4,4200,0.15,14280.0,9600,4680.0,Delivered
ORD1089,2023-01-15,2023,1,Q1,C0123,Central,Indore,Online,P002,Smartphone,Electronics,9,45000,0.05,384750.0,270000,114750.0,Delivered
ORD1090,2023-04-27,2023,4,Q2,C0039,North,Delhi,Retail Store,P011,T-Shirt,Apparel,8,1200,0.0,9600.0,4000,5600.0,Delivered
ORD1091,2023-10-26,2023,10,Q4,C0140,North,Chandigarh,Wholesale,P002,Smartphone,Electronics,9,45000,0.15,344250.0,270000,74250.0,Delivered
ORD1092,2024-05-09,2024,5,Q2,C0095,West,Mumbai,Direct Sales,P002,Smartphone,Electronics,8,45000,0.0,360000.0,240000,120000.0,Delivered
ORD1093,2024-01-28,2024,1,Q1,C0082,West,Pune,Retail Store,P020,Air Purifier,Appliances,4,12000,0.1,43200.0,30000,13200.0,Returned
ORD1094,2023-10-10,2023,10,Q4,C0187,North,Delhi,Wholesale,P005,Smart Watch,Electronics,7,18000,0.0,126000.0,84000,42000.0,Delivered
ORD1095,2023-10-17,2023,10,Q4,C0073,South,Chennai,Direct Sales,P020,Air Purifier,Appliances,5,12000,0.2,48000.0,37500,10500.0,Returned
ORD1096,2024-04-02,2024,4,Q2,C0138,Central,Indore,Wholesale,P007,Office Desk,Furniture,9,22000,0.05,188100.0,126000,62100.0,Delivered
ORD1097,2024-07-10,2024,7,Q3,C0049,West,Mumbai,Wholesale,P002,Smartphone,Electronics,7,45000,0.05,299250.0,210000,89250.0,Returned
ORD1098,2024-12-15,2024,12,Q4,C0083,South,Hyderabad,Direct Sales,P007,Office Desk,Furniture,4,22000,0.1,79200.0,56000,23200.0,Delivered
ORD1099,2024-02-25,2024,2,Q1,C0200,East,Guwahati,Direct Sales,P010,Keyboard,Electronics,1,3500,0.0,3500.0,1800,1700.0,Delivered
ORD1100,2024-01-26,2024,1,Q1,C0050,South,Chennai,Retail Store,P007,Office Desk,Furniture,7,22000,0.15,130900.0,98000,32900.0,Delivered
ORD1101,2023-02-07,2023,2,Q1,C0066,West,Pune,Wholesale,P005,Smart Watch,Electronics,3,18000,0.1,48600.0,36000,12600.0,Returned
ORD1102,2024-03-26,2024,3,Q1,C0027,North,Lucknow,Direct Sales,P018,Coffee Maker,Appliances,2,6500,0.1,11700.0,7600,4100.0,Delivered
ORD1103,2023-05-28,2023,5,Q2,C0127,Central,Nagpur,Retail Store,P016,Pen Set,Stationery,7,450,0.2,2520.0,1260,1260.0,Delivered
ORD1104,2023-09-29,2023,9,Q3,C0114,North,Lucknow,Direct Sales,P004,Headphones,Electronics,6,8000,0.1,43200.0,27000,16200.0,Delivered
ORD1105,2023-12-03,2023,12,Q4,C0140,North,Chandigarh,Wholesale,P010,Keyboard,Electronics,9,3500,0.05,29925.0,16200,13725.0,Delivered
ORD1106,2024-05-14,2024,5,Q2,C0072,North,Delhi,Online,P005,Smart Watch,Electronics,9,18000,0.0,162000.0,108000,54000.0,Delivered
ORD1107,2024-12-01,2024,12,Q4,C0159,North,Chandigarh,Online,P008,Bookshelf,Furniture,5,9000,0.0,45000.0,27500,17500.0,Delivered
ORD1108,2023-04-11,2023,4,Q2,C0062,West,Ahmedabad,Retail Store,P012,Jeans,Apparel,2,2500,0.05,4750.0,2200,2550.0,Delivered
ORD1109,2023-01-30,2023,1,Q1,C0170,East,Bhubaneswar,Online,P002,Smartphone,Electronics,1,45000,0.0,45000.0,30000,15000.0,Delivered
ORD1110,2024-01-19,2024,1,Q1,C0191,East,Bhubaneswar,Retail Store,P004,Headphones,Electronics,7,8000,0.0,56000.0,31500,24500.0,Delivered
ORD1111,2024-08-02,2024,8,Q3,C0045,North,Lucknow,Retail Store,P011,T-Shirt,Apparel,3,1200,0.0,3600.0,1500,2100.0,Delivered
ORD1112,2024-01-27,2024,1,Q1,C0068,North,Delhi,Retail Store,P013,Sneakers,Apparel,10,4500,0.15,38250.0,22000,16250.0,Delivered
ORD1113,2024-08-20,2024,8,Q3,C0141,Central,Nagpur,Direct Sales,P002,Smartphone,Electronics,3,45000,0.0,135000.0,90000,45000.0,Delivered
ORD1114,2024-04-15,2024,4,Q2,C0092,South,Chennai,Online,P015,Notebook,Stationery,5,250,0.15,1062.5,500,562.5,Returned
ORD1115,2024-04-21,2024,4,Q2,C0048,East,Kolkata,Retail Store,P015,Notebook,Stationery,5,250,0.15,1062.5,500,562.5,Delivered
ORD1116,2023-12-20,2023,12,Q4,C0153,West,Pune,Direct Sales,P008,Bookshelf,Furniture,10,9000,0.0,90000.0,55000,35000.0,Delivered
ORD1117,2024-04-12,2024,4,Q2,C0158,North,Delhi,Direct Sales,P017,Planner,Stationery,5,600,0.0,3000.0,1100,1900.0,Returned
ORD1118,2023-04-20,2023,4,Q2,C0006,West,Mumbai,Wholesale,P012,Jeans,Apparel,4,2500,0.05,9500.0,4400,5100.0,Delivered
ORD1119,2024-12-17,2024,12,Q4,C0082,West,Pune,Direct Sales,P016,Pen Set,Stationery,5,450,0.0,2250.0,900,1350.0,Delivered
ORD1120,2024-08-02,2024,8,Q3,C0023,East,Kolkata,Direct Sales,P010,Keyboard,Electronics,1,3500,0.1,3150.0,1800,1350.0,Delivered
ORD1121,2023-10-21,2023,10,Q4,C0053,Central,Bhopal,Wholesale,P017,Planner,Stationery,4,600,0.1,2160.0,880,1280.0,Delivered
ORD1122,2023-07-14,2023,7,Q3,C0152,East,Bhubaneswar,Retail Store,P004,Headphones,Electronics,10,8000,0.0,80000.0,45000,35000.0,Delivered
ORD1123,2024-10-04,2024,10,Q4,C0185,South,Chennai,Direct Sales,P020,Air Purifier,Appliances,1,12000,0.0,12000.0,7500,4500.0,Delivered
ORD1124,2024-01-09,2024,1,Q1,C0051,Central,Indore,Wholesale,P009,Monitor,Electronics,3,28000,0.0,84000.0,54000,30000.0,Delivered
ORD1125,2024-03-01,2024,3,Q1,C0147,East,Guwahati,Retail Store,P009,Monitor,Electronics,3,28000,0.0,84000.0,54000,30000.0,Delivered
ORD1126,2024-01-10,2024,1,Q1,C0195,East,Bhubaneswar,Wholesale,P008,Bookshelf,Furniture,9,9000,0.1,72900.0,49500,23400.0,Delivered
ORD1127,2023-09-21,2023,9,Q3,C0132,North,Chandigarh,Wholesale,P008,Bookshelf,Furniture,8,9000,0.2,57600.0,44000,13600.0,Delivered
ORD1128,2023-12-13,2023,12,Q4,C0027,North,Lucknow,Online,P001,Laptop,Electronics,2,75000,0.05,142500.0,110000,32500.0,Delivered
ORD1129,2023-08-20,2023,8,Q3,C0056,South,Bangalore,Wholesale,P017,Planner,Stationery,7,600,0.2,3360.0,1540,1820.0,Delivered
ORD1130,2024-02-09,2024,2,Q1,C0165,Central,Indore,Online,P017,Planner,Stationery,1,600,0.0,600.0,220,380.0,Delivered
ORD1131,2024-11-19,2024,11,Q4,C0006,West,Mumbai,Direct Sales,P016,Pen Set,Stationery,5,450,0.1,2025.0,900,1125.0,Delivered
ORD1132,2024-01-16,2024,1,Q1,C0044,East,Bhubaneswar,Retail Store,P004,Headphones,Electronics,2,8000,0.15,13600.0,9000,4600.0,Delivered
ORD1133,2024-09-26,2024,9,Q3,C0011,West,Pune,Retail Store,P003,Tablet,Electronics,9,32000,0.0,288000.0,198000,90000.0,Delivered
ORD1134,2024-10-12,2024,10,Q4,C0031,East,Kolkata,Wholesale,P010,Keyboard,Electronics,8,3500,0.15,23800.0,14400,9400.0,Delivered
ORD1135,2023-04-30,2023,4,Q2,C0134,West,Pune,Online,P005,Smart Watch,Electronics,3,18000,0.0,54000.0,36000,18000.0,Delivered
ORD1136,2024-05-19,2024,5,Q2,C0126,North,Chandigarh,Retail Store,P002,Smartphone,Electronics,2,45000,0.0,90000.0,60000,30000.0,Returned
ORD1137,2023-05-19,2023,5,Q2,C0190,South,Chennai,Wholesale,P020,Air Purifier,Appliances,7,12000,0.05,79800.0,52500,27300.0,Delivered
ORD1138,2024-12-14,2024,12,Q4,C0182,Central,Bhopal,Retail Store,P016,Pen Set,Stationery,9,450,0.05,3847.5,1620,2227.5,Returned
ORD1139,2024-11-01,2024,11,Q4,C0199,West,Ahmedabad,Direct Sales,P011,T-Shirt,Apparel,2,1200,0.2,1920.0,1000,920.0,Delivered
ORD1140,2023-10-14,2023,10,Q4,C0008,Central,Indore,Wholesale,P006,Desk Chair,Furniture,1,15000,0.15,12750.0,9000,3750.0,Delivered
ORD1141,2024-03-31,2024,3,Q1,C0082,West,Pune,Wholesale,P016,Pen Set,Stationery,4,450,0.2,1440.0,720,720.0,Delivered
ORD1142,2024-12-03,2024,12,Q4,C0066,West,Pune,Wholesale,P012,Jeans,Apparel,6,2500,0.1,13500.0,6600,6900.0,Delivered
ORD1143,2023-10-10,2023,10,Q4,C0119,North,Lucknow,Direct Sales,P019,Blender,Appliances,4,4200,0.0,16800.0,9600,7200.0,Delivered
ORD1144,2023-08-06,2023,8,Q3,C0144,Central,Indore,Online,P002,Smartphone,Electronics,10,45000,0.0,450000.0,300000,150000.0,Delivered
ORD1145,2023-09-07,2023,9,Q3,C0152,East,Bhubaneswar,Retail Store,P013,Sneakers,Apparel,3,4500,0.2,10800.0,6600,4200.0,Delivered
ORD1146,2024-07-21,2024,7,Q3,C0120,North,Lucknow,Retail Store,P002,Smartphone,Electronics,4,45000,0.1,162000.0,120000,42000.0,Delivered
ORD1147,2023-08-27,2023,8,Q3,C0070,West,Pune,Retail Store,P011,T-Shirt,Apparel,6,1200,0.2,5760.0,3000,2760.0,Delivered
ORD1148,2024-09-02,2024,9,Q3,C0070,West,Pune,Retail Store,P009,Monitor,Electronics,1,28000,0.0,28000.0,18000,10000.0,Pending
ORD1149,2024-07-07,2024,7,Q3,C0007,North,Delhi,Retail Store,P004,Headphones,Electronics,5,8000,0.2,32000.0,22500,9500.0,Delivered
ORD1150,2023-01-27,2023,1,Q1,C0021,East,Kolkata,Wholesale,P019,Blender,Appliances,3,4200,0.0,12600.0,7200,5400.0,Delivered
ORD1151,2023-09-01,2023,9,Q3,C0124,Central,Bhopal,Online,P011,T-Shirt,Apparel,10,1200,0.0,12000.0,5000,7000.0,Delivered
ORD1152,2023-02-23,2023,2,Q1,C0148,East,Guwahati,Direct Sales,P004,Headphones,Electronics,3,8000,0.15,20400.0,13500,6900.0,Delivered
ORD1153,2023-03-07,2023,3,Q1,C0163,North,Chandigarh,Wholesale,P008,Bookshelf,Furniture,8,9000,0.05,68400.0,44000,24400.0,Delivered
ORD1154,2023-04-22,2023,4,Q2,C0130,North,Delhi,Retail Store,P015,Notebook,Stationery,8,250,0.1,1800.0,800,1000.0,Returned
ORD1155,2023-02-14,2023,2,Q1,C0125,South,Hyderabad,Direct Sales,P013,Sneakers,Apparel,9,4500,0.0,40500.0,19800,20700.0,Delivered
ORD1156,2023-02-01,2023,2,Q1,C0132,North,Chandigarh,Direct Sales,P013,Sneakers,Apparel,1,4500,0.05,4275.0,2200,2075.0,Delivered
ORD1157,2023-04-21,2023,4,Q2,C0139,Central,Nagpur,Direct Sales,P020,Air Purifier,Appliances,8,12000,0.15,81600.0,60000,21600.0,Delivered
ORD1158,2023-03-24,2023,3,Q1,C0029,South,Chennai,Retail Store,P013,Sneakers,Apparel,6,4500,0.1,24300.0,13200,11100.0,Delivered
ORD1159,2023-10-09,2023,10,Q4,C0099,North,Chandigarh,Wholesale,P016,Pen Set,Stationery,10,450,0.15,3825.0,1800,2025.0,Delivered
ORD1160,2024-09-03,2024,9,Q3,C0102,North,Chandigarh,Direct Sales,P018,Coffee Maker,Appliances,9,6500,0.0,58500.0,34200,24300.0,Delivered
ORD1161,2024-03-16,2024,3,Q1,C0139,Central,Nagpur,Online,P011,T-Shirt,Apparel,2,1200,0.2,1920.0,1000,920.0,Returned
ORD1162,2024-10-28,2024,10,Q4,C0009,South,Chennai,Retail Store,P006,Desk Chair,Furniture,9,15000,0.15,114750.0,81000,33750.0,Delivered
ORD1163,2023-08-22,2023,8,Q3,C0003,Central,Nagpur,Direct Sales,P013,Sneakers,Apparel,7,4500,0.0,31500.0,15400,16100.0,Delivered
ORD1164,2023-04-08,2023,4,Q2,C0125,South,Hyderabad,Wholesale,P017,Planner,Stationery,6,600,0.05,3420.0,1320,2100.0,Delivered
ORD1165,2024-01-19,2024,1,Q1,C0174,East,Kolkata,Direct Sales,P018,Coffee Maker,Appliances,3,6500,0.15,16575.0,11400,5175.0,Delivered
ORD1166,2023-03-29,2023,3,Q1,C0178,East,Guwahati,Online,P015,Notebook,Stationery,2,250,0.05,475.0,200,275.0,Delivered
ORD1167,2024-01-17,2024,1,Q1,C0109,West,Pune,Online,P006,Desk Chair,Furniture,3,15000,0.1,40500.0,27000,13500.0,Delivered
ORD1168,2024-07-29,2024,7,Q3,C0171,North,Lucknow,Online,P020,Air Purifier,Appliances,9,12000,0.0,108000.0,67500,40500.0,Delivered
ORD1169,2024-11-12,2024,11,Q4,C0161,Central,Nagpur,Online,P009,Monitor,Electronics,7,28000,0.2,156800.0,126000,30800.0,Pending
ORD1170,2024-09-06,2024,9,Q3,C0138,Central,Indore,Online,P003,Tablet,Electronics,5,32000,0.0,160000.0,110000,50000.0,Delivered
ORD1171,2023-08-06,2023,8,Q3,C0168,East,Kolkata,Direct Sales,P003,Tablet,Electronics,3,32000,0.15,81600.0,66000,15600.0,Delivered
